locationid,FacilityType,Address,Status,Latitude,Longitude,Approved,ExpirationDate,Name
1587580,Truck,2045 EVANS AVE,APPROVED,37.747772091607466,-122.39703171897756,12/30/2021 12:00:00 AM,11/15/2022 12:00:00 AM,Eva's Catering
1514029,Truck,2800 03RD ST,EXPIRED,37.75371741690213,-122.3883590210436,03/30/2021 12:00:00 AM,11/15/2021 12:00:00 AM,F & C Catering
1591783,Push Cart,870 MARKET ST,SUSPEND,37.78511092044776,-122.40742266827704,,11/15/2022 12:00:00 AM,FRUITYMANIA
1587522,Truck,400 CALIFORNIA ST,APPROVED,0.0,0.0,12/30/2021 12:00:00 AM,11/15/2022 12:00:00 AM,"Chairman SF, LLC"
1587537,Truck,1082 PENNSYLVANIA AVE,APPROVED,37.75336082945507,-122.39304592079776,12/30/2021 12:00:00 AM,11/15/2022 12:00:00 AM,Brazuca Grill
1587524,Truck,536 MISSION ST,APPROVED,37.78924890841371,-122.39889295934644,12/30/2021 12:00:00 AM,11/15/2022 12:00:00 AM,"Chairman SF, LLC"
1591810,Truck,405 HOWARD ST,SUSPEND,37.788530010632506,-122.39514429387364,,11/15/2022 12:00:00 AM,Flavors of Africa
1591787,Push Cart,560 MISSION ST,SUSPEND,37.78886471534304,-122.39935935136296,,11/15/2022 12:00:00 AM,Faith Sandwich
1587578,Truck,530 05TH ST,APPROVED,37.77687638877653,-122.40025957520209,12/30/2021 12:00:00 AM,11/15/2022 12:00:00 AM,Eva's Catering
1174531,Push Cart,525 MARKET ST,REQUESTED,37.790406719940485,-122.39927588608576,,07/15/2019 12:00:00 AM,CC Acquisition LLC
963991,Truck,297 HARBOR RD,REQUESTED,37.73343881164075,-122.38046754951796,,03/15/2018 12:00:00 AM,Singh Brothers Ice Cream
1163794,Truck,1118 MISSION ST,REQUESTED,37.77915720534109,-122.41161543051868,,07/15/2019 12:00:00 AM,"SOHOMEI, LLC"
1163791,Truck,432 CLAY ST,REQUESTED,37.795105560981405,-122.40087663372626,,07/15/2019 12:00:00 AM,"SOHOMEI, LLC"
963985,Truck,1562 BANCROFT AVE,REQUESTED,37.725450702172296,-122.39199164141807,,03/15/2018 12:00:00 AM,Singh Brothers Ice Cream
1153604,Truck,240 02ND ST,REQUESTED,37.78594032017338,-122.39779993385848,,,SPUNBYSS
963995,Truck,195 KISKA RD,REQUESTED,37.72943828845401,-122.37665780072308,,03/15/2018 12:00:00 AM,Singh Brothers Ice Cream
1090089,Truck,1700 EVANS AVE,REQUESTED,37.744889286143,-122.39097197693538,,07/15/2019 12:00:00 AM,Tacos El Primo
963992,Truck,1191 QUESADA AVE,REQUESTED,37.72774449070106,-122.38210737524216,,03/15/2018 12:00:00 AM,Singh Brothers Ice Cream
1163792,Truck,1 THOMAS MORE WAY,REQUESTED,37.710003334289446,-122.47141191312888,,07/15/2019 12:00:00 AM,"SOHOMEI, LLC"
963980,Truck,2900 GRIFFITH ST,REQUESTED,37.71699129032396,-122.38959908416972,,03/15/2018 12:00:00 AM,Singh Brothers Ice Cream
1163783,Truck,1540 PINE ST,REQUESTED,37.78982691876333,-122.42112628905566,,07/15/2019 12:00:00 AM,"SOHOMEI, LLC"
1199051,Truck,400 CALIFORNIA ST,REQUESTED,37.79330427556103,-122.4014589984134,,07/15/2019 12:00:00 AM,Munch India
963978,Truck,1000 HOLLISTER AVE,REQUESTED,37.71893981909594,-122.39051787206591,,03/15/2018 12:00:00 AM,Singh Brothers Ice Cream
963979,Truck,1173 INGERSON AVE,REQUESTED,37.72044936265937,-122.39591501423702,,03/15/2018 12:00:00 AM,Singh Brothers Ice Cream
1090091,Truck,1495 WALLACE AVE,REQUESTED,37.72593049503994,-122.38921555942116,,07/15/2019 12:00:00 AM,Tacos El Primo
946047,Truck,1300 POLK ST,EXPIRED,37.78887711726664,-122.42009102003809,03/09/2017 12:00:00 AM,07/15/2018 12:00:00 AM,The Huge Hotdog Concession
1034228,,1850 MISSION ST,REQUESTED,37.76735502136977,-122.42051791382852,,,Julie's Hot Dogs
963984,Truck,1475 DONNER AVE,REQUESTED,37.72279368875932,-122.39171966647248,,03/15/2018 12:00:00 AM,Singh Brothers Ice Cream
1587549,Truck,2030 03RD ST,APPROVED,37.7636598013494,-122.38913385740454,12/30/2021 12:00:00 AM,11/15/2022 12:00:00 AM,Brazuca Grill
1587542,Truck,640 TENNESSEE ST,APPROVED,37.76354048392964,-122.39009664366294,12/30/2021 12:00:00 AM,11/15/2022 12:00:00 AM,Brazuca Grill
1039786,,2101 MISSION ST,REQUESTED,37.76317461963382,-122.41900951477052,,,Julie's Hot Dogs
